FID,Region,Heading,Elevation,Distance,Duration,Speed,Fuel_Usage,Moisture,Mass_Cotto,Width,Engaged,Mass_Yield,Wet_Yield,Dry_Yield,Timestamp,POINT_X,POINT_Y
0,First Pick Cotton,342.8,172.48,5.76,1,4.3,25.4,1,0.6,18,-1,254.6,254.6,100.84,1508969460,-84.761932,31.184427
1,First Pick Cotton,343.2,172.64,7.21,1,4.8,20.9,1,3.5,18,-1,1175.1,1175.1,465.36000000000007,1508969460,-84.761939,31.184446
2,First Pick Cotton,343.1,172.98,7.07,1,4.8,21.4,1,5.7,18,-1,1948.1,1948.1,771.44,1508969460,-84.761945,31.184465
3,First Pick Cotton,343.2,173.24,7.11,1,4.8,22.6,1,8.9,18,-1,3047.2,3047.2,1206.68,1508969470,-84.761952,31.184483
4,First Pick Cotton,342.8,173.4,7.11,1,4.8,22.6,1,8.9,18,-1,3030.7,3030.7,1200.16,1508969470,-84.761959,31.184502
5,First Pick Cotton,343.3,173.61,7.14,1,4.8,22.3,1,8.4,18,-1,2833.7,2833.7,1122.1200000000001,1508969470,-84.761965,31.184521
6,First Pick Cotton,342.7,173.82,7.11,1,4.9,21.7,1,10.4,18,-1,3551.7,3551.7,1406.48,1508969470,-84.761972,31.184539
7,First Pick Cotton,342.4,174.02,7.11,1,4.9,21.2,1,10.6,18,-1,3608,3608,1428.7600000000002,1508969470,-84.761979,31.184558
8,First Pick Cotton,342.6,174.23,7.11,1,4.9,22.2,1,10.1,18,-1,3455.6,3455.6,1368.44,1508969470,-84.761986,31.184577
9,First Pick Cotton,342.6,174.44,7.14,1,4.8,22.4,1,9.9,18,-1,3363.5,3363.5,1331.96,1508969470,-84.761992,31.184595
10,First Pick Cotton,343.5,174.7,7.14,1,4.8,22.3,1,10.7,18,-1,3633.3,3633.3,1438.7600000000002,1508969470,-84.761999,31.184614
11,First Pick Cotton,343.7,174.85,7.11,1,4.8,22.7,1,8.9,18,-1,3017.9,3017.9,1195.1200000000001,1508969470,-84.762005,31.184633
12,First Pick Cotton,343.8,175.06,7.11,1,4.8,21.1,1,9.9,18,-1,3379.8,3379.8,1338.4,1508969470,-84.762011,31.184652
13,First Pick Cotton,344,175.3,7.07,1,4.8,22.3,1,10.1,18,-1,3444.5,3444.5,1364,1508969480,-84.762017,31.18467
14,First Pick Cotton,344.2,175.5,7.11,1,4.8,22.3,1,14.2,18,-1,4827.9,4827.9,1911.88,1508969480,-84.762023,31.184689
15,First Pick Cotton,343.7,175.69,7.04,1,4.8,22.1,1,14.1,18,-1,4856.3,4856.3,1923.08,1508969480,-84.76203,31.184708
16,First Pick Cotton,343.7,175.81,7.07,1,4.8,22.6,1,14.6,18,-1,5001.9,5001.9,1980.76,1508969480,-84.762036,31.184726
17,First Pick Cotton,343.4,176.01,7.07,1,4.8,21.7,1,14.3,18,-1,4907.7,4907.7,1943.4400000000003,1508969480,-84.762043,31.184745
18,First Pick Cotton,342.8,176.09,7.04,1,4.8,22.3,1,11.8,18,-1,4040.2,4040.2,1599.92,1508969480,-84.76205,31.184764
19,First Pick Cotton,343.9,176.23,7.14,1,4.7,21.6,1,11.6,18,-1,3924,3924,1553.88,1508969480,-84.762056,31.184783
20,First Pick Cotton,343.5,176.36,7.07,1,4.7,22.7,1,12.6,18,-1,4305.8,4305.8,1705.08,1508969480,-84.762062,31.184801
21,First Pick Cotton,342.8,176.44,7.14,1,4.7,20.9,1,12.4,18,-1,4209.4,4209.4,1666.92,1508969480,-84.762069,31.18482
22,First Pick Cotton,342.8,176.48,7.11,1,4.7,21.3,1,12.9,18,-1,4376,4376,1732.88,1508969480,-84.762076,31.184838
23,First Pick Cotton,342.7,176.57,7.14,1,4.8,21.5,1,11.8,18,-1,4010.7,4010.7,1588.2,1508969490,-84.762083,31.184857
24,First Pick Cotton,343,176.6,7.11,1,4.8,21.1,1,12.6,18,-1,4289.7,4289.7,1698.7200000000003,1508969490,-84.762089,31.184876
25,First Pick Cotton,343,176.62,7.14,1,4.8,21.7,1,13.4,18,-1,4549.4,4549.4,1801.56,1508969490,-84.762096,31.184895
26,First Pick Cotton,343.4,176.61,7.14,1,4.8,21.3,1,12.2,18,-1,4146.7,4146.7,1642.08,1508969490,-84.762102,31.184913
27,First Pick Cotton,343.4,176.58,7.17,1,4.8,20.8,1,12.8,18,-1,4320.3,4320.3,1710.8400000000001,1508969490,-84.762109,31.184932
28,First Pick Cotton,343.2,176.54,7.07,1,4.8,21.3,1,15.8,18,-1,5416.7,5416.7,2145.0400000000004,1508969490,-84.762116,31.184951
29,First Pick Cotton,344.4,176.46,7.07,1,4.8,22.5,1,12.7,18,-1,4345,4345,1720.6400000000003,1508969490,-84.762121,31.18497
30,First Pick Cotton,344,176.46,7.14,1,4.8,21.2,1,13.9,18,-1,4712.3,4712.3,1866.08,1508969490,-84.762128,31.184989
31,First Pick Cotton,344,176.39,7.11,1,4.8,21.2,1,15.4,18,-1,5231.1,5231.1,2071.52,1508969490,-84.762134,31.185007
32,First Pick Cotton,343.7,176.31,7.11,1,4.8,21.1,1,15.5,18,-1,5275.4,5275.4,2089.0400000000004,1508969490,-84.762141,31.185026
33,First Pick Cotton,343.6,176.26,7.11,1,4.8,21.4,1,16.5,18,-1,5620,5620,2225.52,1508969500,-84.762147,31.185045
34,First Pick Cotton,343.2,176.23,7.04,1,4.8,21.4,1,14.2,18,-1,4875.2,4875.2,1930.6000000000001,1508969500,-84.762154,31.185063
35,First Pick Cotton,342.9,176.16,7.11,1,4.8,21.8,1,15.2,18,-1,5165,5165,2045.36,1508969500,-84.762161,31.185082
36,First Pick Cotton,343,176.15,7.11,1,4.8,20.4,1,14.9,18,-1,5059.9,5059.9,2003.7200000000003,1508969500,-84.762168,31.185101
37,First Pick Cotton,343.1,176.26,7.14,1,4.8,19.5,1,15.1,18,-1,5103.9,5103.9,2021.1599999999999,1508969500,-84.762174,31.185119
38,First Pick Cotton,342.9,176.05,6.98,1,4.6,21.8,1,10.9,18,-1,3775.3,3775.3,1495.04,1508969500,-84.762181,31.185138
39,First Pick Cotton,343.9,175.92,7.11,1,4.9,22.6,1,15.6,18,-1,5328.7,5328.7,2110.16,1508969500,-84.762187,31.185156
40,First Pick Cotton,343.4,175.91,7.21,1,4.9,19.5,1,13,18,-1,4377.7,4377.7,1733.56,1508969500,-84.762194,31.185175
41,First Pick Cotton,343.7,175.77,7.04,1,4.7,21.4,1,12.4,18,-1,4271.3,4271.3,1691.4400000000003,1508969500,-84.762200000000007,31.185194
42,First Pick Cotton,343.5,175.71,7.14,1,4.7,20.8,1,13.8,18,-1,4677.2,4677.2,1852.2,1508969500,-84.762207,31.185213
43,First Pick Cotton,343.3,175.63,7.07,1,4.7,20.3,1,13.6,18,-1,4637.6,4637.6,1836.5200000000002,1508969510,-84.762214,31.185231
44,First Pick Cotton,343.6,175.66,7.07,1,4.7,20.8,1,13.2,18,-1,4518.5,4518.5,1789.3200000000002,1508969510,-84.76222,31.18525
45,First Pick Cotton,343.4,175.75,7.01,1,4.7,22,1,13.1,18,-1,4537.9,4537.9,1797.0400000000002,1508969510,-84.762227,31.185268
46,First Pick Cotton,343.8,175.89,7.04,1,4.8,21.6,1,13.7,18,-1,4724.4,4724.4,1870.88,1508969510,-84.762233,31.185287
47,First Pick Cotton,343.6,175.99,7.07,1,4.8,20.2,1,13.7,18,-1,4689.7,4689.7,1857.1200000000001,1508969510,-84.762239,31.185305
48,First Pick Cotton,343.3,176.09,7.04,1,4.8,21.5,1,14.4,18,-1,4954,4954,1961.8000000000002,1508969510,-84.762246,31.185324
49,First Pick Cotton,344,176.13,7.01,1,4.8,21.2,1,14.3,18,-1,4923.1,4923.1,1949.56,1508969510,-84.762252,31.185343
50,First Pick Cotton,344.3,176.18,7.04,1,4.7,20.9,1,14.9,18,-1,5134.3,5134.3,2033.2,1508969510,-84.762258,31.185361
51,First Pick Cotton,343.6,176.17,7.07,1,4.7,21.6,1,12.9,18,-1,4400.1,4400.1,1742.4400000000003,1508969510,-84.762264,31.18538
52,First Pick Cotton,343.8,176.17,7.04,1,4.7,21,1,15.9,18,-1,5462.4,5462.4,2163.1200000000003,1508969510,-84.762271,31.185399
53,First Pick Cotton,343.8,176.19,7.04,1,4.7,21.1,1,14.3,18,-1,4911.6,4911.6,1945,1508969520,-84.762277,31.185417
54,First Pick Cotton,342.7,176.11,7.04,1,4.7,22.5,1,14.1,18,-1,4832,4832,1913.48,1508969520,-84.762284,31.185436
55,First Pick Cotton,342.8,176.07,7.07,1,4.8,24,1,14.5,18,-1,4966.5,4966.5,1966.7200000000003,1508969520,-84.762291,31.185454
56,First Pick Cotton,342.8,176.07,7.07,1,4.8,25.4,1,13.3,18,-1,4538.8,4538.8,1797.4,1508969520,-84.762297,31.185473000000002
57,First Pick Cotton,342.7,176.01,7.07,1,4.8,25.3,1,14.3,18,-1,4876.7,4876.7,1931.2,1508969520,-84.762304,31.185491
58,First Pick Cotton,343,175.94,7.07,1,4.8,25.3,1,12.6,18,-1,4316.4,4316.4,1709.28,1508969520,-84.76231,31.18551
59,First Pick Cotton,343.2,175.87,7.04,1,4.8,25.8,1,15.7,18,-1,5404.9,5404.9,2140.32,1508969520,-84.762317,31.185528
60,First Pick Cotton,343.8,175.87,7.14,1,4.7,25.3,1,14.9,18,-1,5061.3,5061.3,2004.28,1508969520,-84.762323,31.185547
61,First Pick Cotton,344.3,175.81,7.07,1,4.7,25.2,1,15.2,18,-1,5182.9,5182.9,2052.44,1508969520,-84.762329,31.185566
62,First Pick Cotton,343.4,175.64,7.07,1,4.7,26.4,1,13.5,18,-1,4611.2,4611.2,1826.0400000000002,1508969520,-84.762336,31.185585
63,First Pick Cotton,344,175.66,7.07,1,4.7,25.5,1,12.9,18,-1,4403.8,4403.8,1743.92,1508969530,-84.762342,31.185603
64,First Pick Cotton,343.6,175.61,7.11,1,4.7,24.4,1,11.5,18,-1,3921.8,3921.8,1553.04,1508969530,-84.762349,31.185622
65,First Pick Cotton,343.3,175.5,7.07,1,4.7,24.5,1,13.2,18,-1,4500.4,4500.4,1782.1599999999999,1508969530,-84.762355,31.18564
66,First Pick Cotton,343.2,175.41,7.07,1,4.7,26.3,1,12.5,18,-1,4277.9,4277.9,1694.0400000000002,1508969530,-84.762362,31.185659
67,First Pick Cotton,343.5,175.35,7.04,1,4.7,25.8,1,14.1,18,-1,4841.9,4841.9,1917.36,1508969530,-84.762368,31.185678
68,First Pick Cotton,342.9,175.32,7.07,1,4.8,25.5,1,14.3,18,-1,4877.5,4877.5,1931.48,1508969530,-84.762375,31.185696
69,First Pick Cotton,343,175.25,7.07,1,4.8,25.8,1,15.7,18,-1,5364,5364,2124.1200000000003,1508969530,-84.762382,31.185715
70,First Pick Cotton,343.4,175.15,7.11,1,4.8,25.8,1,14.4,18,-1,4896.3,4896.3,1938.92,1508969530,-84.762388,31.185733
71,First Pick Cotton,343.8,175.07,7.07,1,4.8,25,1,14.2,18,-1,4843.5,4843.5,1918.0400000000002,1508969530,-84.762394,31.185752
72,First Pick Cotton,343.6,175.01,7.07,1,4.8,24.9,1,15.4,18,-1,5259.1,5259.1,2082.6,1508969530,-84.762401,31.185771
73,First Pick Cotton,344.2,174.96,7.04,1,4.8,25.3,1,14.9,18,-1,5116.2,5116.2,2026,1508969540,-84.762407,31.185789
74,First Pick Cotton,344.3,174.8,7.07,1,4.7,25.6,1,15,18,-1,5145.2,5145.2,2037.5200000000002,1508969540,-84.762413,31.185808
75,First Pick Cotton,343.2,174.75,7.07,1,4.7,26.2,1,14.1,18,-1,4832.2,4832.2,1913.56,1508969540,-84.76242,31.185827
76,First Pick Cotton,343.2,174.7,7.07,1,4.7,26.2,1,14.4,18,-1,4923.5,4923.5,1949.7200000000003,1508969540,-84.762427,31.185845
77,First Pick Cotton,343.3,174.61,7.11,1,4.7,25.5,1,15.5,18,-1,5294.9,5294.9,2096.7599999999998,1508969540,-84.762433,31.185864
78,First Pick Cotton,343.8,174.53,7.07,1,4.7,25.3,1,16.5,18,-1,5649,5649,2237.0400000000004,1508969540,-84.762439,31.185883
79,First Pick Cotton,344.5,174.46,7.04,1,4.8,25.5,1,14.7,18,-1,5044.2,5044.2,1997.48,1508969540,-84.762445,31.185901
80,First Pick Cotton,344.1,174.43,7.11,1,4.8,25.8,1,15.7,18,-1,5345.9,5345.9,2117,1508969540,-84.762451,31.18592
81,First Pick Cotton,342.5,174.32,7.04,1,4.8,26.4,1,14.8,18,-1,5092.7,5092.7,2016.68,1508969540,-84.762459,31.185938
82,First Pick Cotton,342.1,174.29,7.11,1,4.8,24.9,1,14.7,18,-1,4990.1,4990.1,1976.08,1508969540,-84.762466,31.185957
83,First Pick Cotton,342.3,174.22,7.04,1,4.8,25.9,1,13.6,18,-1,4667.6,4667.6,1848.36,1508969550,-84.762473,31.185975
84,First Pick Cotton,342.6,174.1,7.04,1,4.7,25.4,1,12.3,18,-1,4237.2,4237.2,1677.92,1508969550,-84.762479,31.185994
85,First Pick Cotton,342.6,174.05,7.04,1,4.7,26.3,1,14.4,18,-1,4963.9,4963.9,1965.68,1508969550,-84.762486,31.186012
86,First Pick Cotton,343,174,7.07,1,4.7,26.1,1,13.9,18,-1,4754.5,4754.5,1882.8000000000002,1508969550,-84.762492,31.186031
87,First Pick Cotton,343.6,173.94,7.07,1,4.7,25.9,1,15.7,18,-1,5370,5370,2126.52,1508969550,-84.762498,31.18605
88,First Pick Cotton,343.6,173.82,7.07,1,4.7,26.2,1,16.8,18,-1,5754.6,5754.6,2278.84,1508969550,-84.762505,31.186068
89,First Pick Cotton,343.3,173.78,7.07,1,4.7,25.8,1,12.9,18,-1,4428,4428,1753.48,1508969550,-84.762511,31.186087
90,First Pick Cotton,343.7,173.7,7.14,1,4.8,24.9,1,16.2,18,-1,5497.7,5497.7,2177.1200000000003,1508969550,-84.762517,31.186106
91,First Pick Cotton,343.8,173.61,7.04,1,4.8,26,1,13.8,18,-1,4747.9,4747.9,1880.1599999999999,1508969550,-84.762524,31.186124
92,First Pick Cotton,342.9,173.54,7.07,1,4.8,26,1,15.1,18,-1,5176.9,5176.9,2050.0400000000004,1508969550,-84.762531,31.186143
93,First Pick Cotton,342.6,173.49,7.01,1,4.8,25.4,1,14.5,18,-1,4993.9,4993.9,1977.6000000000001,1508969560,-84.762538,31.186161
94,First Pick Cotton,342.8,173.44,7.07,1,4.8,26.4,1,14.2,18,-1,4863.2,4863.2,1925.8000000000002,1508969560,-84.762544,31.18618
95,First Pick Cotton,343.4,173.37,7.04,1,4.7,26.5,1,15.8,18,-1,5439.7,5439.7,2154.1200000000003,1508969560,-84.76255,31.186199
96,First Pick Cotton,342.7,173.31,7.11,1,4.7,26.4,1,16.6,18,-1,5638,5638,2232.6400000000003,1508969560,-84.762557,31.186217
97,First Pick Cotton,343.6,173.28,7.04,1,4.7,25.7,1,16.3,18,-1,5591.3,5591.3,2214.1200000000003,1508969560,-84.762564,31.186236
98,First Pick Cotton,343.7,173.23,7.07,1,4.7,26.3,1,15.9,18,-1,5422.8,5422.8,2147.44,1508969560,-84.76257,31.186254
99,First Pick Cotton,343.9,173.17,7.04,1,4.7,26.1,1,17.1,18,-1,5867.1,5867.1,2323.36,1508969560,-84.762576,31.186273
100,First Pick Cotton,344,173.16,7.07,1,4.8,25.7,1,15.6,18,-1,5322.5,5322.5,2107.68,1508969560,-84.762582,31.186292
101,First Pick Cotton,343.9,173.1,7.04,1,4.8,26.1,1,14.9,18,-1,5130.6,5130.6,2031.7200000000003,1508969560,-84.762589,31.18631
102,First Pick Cotton,343.5,173.09,7.07,1,4.8,25.7,1,16.4,18,-1,5595.5,5595.5,2215.8,1508969560,-84.762595,31.186329
103,First Pick Cotton,343.5,173.05,7.07,1,4.8,24.7,1,17.5,18,-1,5999,5999,2375.6,1508969570,-84.762602,31.186348
104,First Pick Cotton,343.4,173.01,7.07,1,4.8,24.2,1,16.1,18,-1,5508.8,5508.8,2181.48,1508969570,-84.762608,31.186366
105,First Pick Cotton,343.2,173.01,7.04,1,4.8,23.9,1,14.5,18,-1,4981.3,4981.3,1972.6000000000001,1508969570,-84.762615,31.186385
106,First Pick Cotton,343.5,173,7.04,1,4.7,22.9,1,15.5,18,-1,5342.7,5342.7,2115.7200000000003,1508969570,-84.762621,31.186403
107,First Pick Cotton,343,172.94,7.07,1,4.7,21.4,1,14.2,18,-1,4846.6,4846.6,1919.2400000000002,1508969570,-84.762628,31.186422
108,First Pick Cotton,342.8,172.96,7.04,1,4.7,20.2,1,13.5,18,-1,4631.2,4631.2,1833.96,1508969570,-84.762635,31.18644
109,First Pick Cotton,343.3,172.9,7.07,1,4.7,21,1,14.3,18,-1,4885.8,4885.8,1934.76,1508969570,-84.762641,31.186459
110,First Pick Cotton,343.7,172.85,7.14,1,4.8,20.2,1,13.1,18,-1,4430.6,4430.6,1754.5200000000002,1508969570,-84.762647,31.186478
111,First Pick Cotton,343.3,172.8,7.07,1,4.8,21,1,13.5,18,-1,4605.2,4605.2,1823.68,1508969570,-84.762654,31.186496000000002
112,First Pick Cotton,343,172.77,7.07,1,4.8,21.1,1,11,18,-1,3765,3765,1490.96,1508969570,-84.762661,31.186515
113,First Pick Cotton,343.6,172.76,7.07,1,4.8,21.7,1,12.1,18,-1,4132.3,4132.3,1636.4,1508969580,-84.762667,31.186534
114,First Pick Cotton,344.4,172.8,7.04,1,4.6,22.1,1,11.6,18,-1,3997,3997,1582.8000000000002,1508969580,-84.762672,31.186552
115,First Pick Cotton,344.3,172.81,7.14,1,4.6,19.3,1,12.1,18,-1,4101.8,4101.8,1624.3200000000002,1508969580,-84.762679,31.186571
116,First Pick Cotton,343.8,172.81,7.01,1,4.6,21.1,1,15,18,-1,5165.2,5165.2,2045.4400000000003,1508969580,-84.762685,31.18659
117,First Pick Cotton,342.9,172.75,7.04,1,4.8,22.6,1,15.8,18,-1,5445,5445,2156.2400000000002,1508969580,-84.762692,31.186608
118,First Pick Cotton,342.7,172.81,7.11,1,4.8,20.6,1,15.7,18,-1,5338.4,5338.4,2114.0400000000004,1508969580,-84.762699,31.186627
119,First Pick Cotton,343.1,172.76,7.04,1,4.8,21,1,13.9,18,-1,4779.7,4779.7,1892.76,1508969580,-84.762705,31.186645
120,First Pick Cotton,342.7,172.71,7.11,1,4.8,21.1,1,13.8,18,-1,4704.8,4704.8,1863.1200000000001,1508969580,-84.762712,31.186664
121,First Pick Cotton,342.5,172.79,7.04,1,4.8,20.8,1,11.9,18,-1,4098.5,4098.5,1623.04,1508969580,-84.762719,31.186682
122,First Pick Cotton,342.8,172.79,7.07,1,4.7,21.7,1,14,18,-1,4783.2,4783.2,1894.1599999999999,1508969580,-84.762726,31.186701
123,First Pick Cotton,343,172.88,7.04,1,4.7,21.2,1,12.5,18,-1,4297.1,4297.1,1701.6400000000003,1508969590,-84.762732,31.186719
124,First Pick Cotton,343.5,172.91,7.07,1,4.7,21.6,1,12.6,18,-1,4325.4,4325.4,1712.8400000000001,1508969590,-84.762738,31.186738
125,First Pick Cotton,343.7,172.94,7.07,1,4.7,21.7,1,17,18,-1,5802.1,5802.1,2297.6400000000003,1508969590,-84.762745,31.186757
126,First Pick Cotton,344.1,172.97,7.04,1,4.8,22.1,1,16.6,18,-1,5711,5711,2261.56,1508969590,-84.762751,31.186775
127,First Pick Cotton,343.8,172.94,7.01,1,4.8,21.6,1,16,18,-1,5519.2,5519.2,2185.6,1508969590,-84.76277,31.186831
128,First Pick Cotton,343.6,172.94,7.07,1,4.8,21.7,1,16.3,18,-1,5562.3,5562.3,2202.68,1508969590,-84.762777,31.18685
129,First Pick Cotton,343.5,172.92,7.07,1,4.7,21.4,1,15.4,18,-1,5280.2,5280.2,2090.96,1508969590,-84.762783,31.186868
130,First Pick Cotton,343.6,172.81,7.04,1,4.8,21.5,1,17.7,18,-1,6095.9,6095.9,2413.96,1508969600,-84.762809,31.186943
131,First Pick Cotton,343.9,172.75,7.07,1,4.8,21.3,1,16.7,18,-1,5724.5,5724.5,2266.88,1508969600,-84.762815,31.186961
132,First Pick Cotton,343.4,172.64,7.04,1,4.8,21.1,1,17.7,18,-1,6091.4,6091.4,2412.16,1508969600,-84.762828,31.186999
133,First Pick Cotton,343.5,172.51,7.07,1,4.8,20.9,1,13.5,18,-1,4613.5,4613.5,1826.96,1508969600,-84.762841,31.187036
134,First Pick Cotton,342.9,172.42,7.07,1,4.7,20.9,1,17.4,18,-1,5937.9,5937.9,2351.4,1508969600,-84.762848,31.187055
135,First Pick Cotton,343,172.36,7.07,1,4.7,20.3,1,16.6,18,-1,5670.2,5670.2,2245.4,1508969600,-84.762854,31.187073
136,First Pick Cotton,342.8,172.27,7.04,1,4.7,21.6,1,17.3,18,-1,5934.5,5934.5,2350.08,1508969610,-84.762861,31.187092
137,First Pick Cotton,342.8,172.13,7.07,1,4.7,20.6,1,16.6,18,-1,5670.9,5670.9,2245.68,1508969610,-84.762868,31.18711
138,First Pick Cotton,343.1,172.05,7.14,1,4.7,20.6,1,17.6,18,-1,5973,5973,2365.32,1508969610,-84.762874,31.187129
139,First Pick Cotton,344,171.92,7.04,1,4.7,21.1,1,16.4,18,-1,5622.3,5622.3,2226.44,1508969610,-84.76288,31.187148
140,First Pick Cotton,342.9,171.52,7.07,1,4.8,21,1,17.6,18,-1,6023.9,6023.9,2385.44,1508969610,-84.7629,31.187204
141,First Pick Cotton,343.2,171.39,7.14,1,4.8,20.2,1,17.5,18,-1,5937.1,5937.1,2351.1200000000003,1508969610,-84.762907,31.187222
142,First Pick Cotton,343.4,171.27,7.07,1,4.8,22,1,17.2,18,-1,5876.1,5876.1,2326.92,1508969610,-84.762913,31.187241
143,First Pick Cotton,343.5,171.14,7.11,1,4.7,20.6,1,17.1,18,-1,5823.4,5823.4,2306.08,1508969610,-84.76292,31.18726
144,First Pick Cotton,343.5,170.92,7.07,1,4.7,20.8,1,16.1,18,-1,5517.1,5517.1,2184.7599999999998,1508969620,-84.762932,31.187297
145,First Pick Cotton,343.4,170.65,7.04,1,4.7,21.7,1,16.8,18,-1,5764.8,5764.8,2282.84,1508969620,-84.762945,31.187334
146,First Pick Cotton,343.4,170.54,7.07,1,4.8,20.6,1,15.6,18,-1,5346.6,5346.6,2117.2400000000002,1508969620,-84.762951,31.187353
147,First Pick Cotton,343.6,170.43,7.07,1,4.8,21.3,1,15.1,18,-1,5162.6,5162.6,2044.36,1508969620,-84.762958,31.187372
148,First Pick Cotton,343.5,170.16,7.07,1,4.8,21.2,1,17.4,18,-1,5950.7,5950.7,2356.48,1508969620,-84.762971,31.187409
149,First Pick Cotton,343.4,170.06,7.07,1,4.8,20.4,1,17.3,18,-1,5924.3,5924.3,2346.0400000000004,1508969620,-84.762977,31.187427
150,First Pick Cotton,342.9,169.91,7.07,1,4.7,20.2,1,15.7,18,-1,5370.7,5370.7,2126.8,1508969620,-84.762984,31.187446
151,First Pick Cotton,342.8,169.8,7.07,1,4.7,20,1,17,18,-1,5808.9,5808.9,2300.32,1508969630,-84.762991,31.187464
152,First Pick Cotton,342.4,169.71,7.04,1,4.7,20.3,1,15.1,18,-1,5177.5,5177.5,2050.32,1508969630,-84.762998,31.187483
153,First Pick Cotton,342.1,169.6,7.04,1,4.7,19.5,1,14.6,18,-1,5012.4,5012.4,1984.88,1508969630,-84.763005,31.187501
154,First Pick Cotton,342.6,169.48,7.04,1,4.7,21.2,1,14.6,18,-1,5016.1,5016.1,1986.4,1508969630,-84.763012,31.18752
155,First Pick Cotton,342.9,169.42,7.04,1,4.8,20.6,1,16.6,18,-1,5718.6,5718.6,2264.56,1508969630,-84.763019,31.187538
156,First Pick Cotton,344.6,168.94,7.01,1,4.8,25.2,1,14.1,18,-1,4855.4,4855.4,1922.7200000000003,1508969630,-84.763043,31.187613
157,First Pick Cotton,344.1,168.84,7.11,1,4.7,24.8,1,11.8,18,-1,4026.9,4026.9,1594.64,1508969630,-84.76305,31.187631
158,First Pick Cotton,344.3,168.72,7.07,1,4.7,24.2,1,10.1,18,-1,3446,3446,1364.6000000000001,1508969640,-84.763056,31.18765
159,First Pick Cotton,343.9,168.65,7.04,1,4.7,25.2,1,10.1,18,-1,3456,3456,1368.5600000000002,1508969640,-84.763063,31.187669
160,First Pick Cotton,343.8,168.58,7.01,1,4.7,25.1,1,8.8,18,-1,3021.5,3021.5,1196.5200000000002,1508969640,-84.763069,31.187687
161,First Pick Cotton,343.6,168.48,7.07,1,4.7,25.1,1,10.8,18,-1,3698.7,3698.7,1464.68,1508969640,-84.763075,31.187706
162,First Pick Cotton,343.4,168.38,7.11,1,4.7,26.2,1,9.5,18,-1,3226.6,3226.6,1277.7600000000002,1508969640,-84.763082,31.187725
163,First Pick Cotton,343.3,168.29,7.07,1,4.8,24.8,1,11.1,18,-1,3792.9,3792.9,1502,1508969640,-84.763089,31.187743
164,First Pick Cotton,343.4,168.22,7.07,1,4.8,24.8,1,13.5,18,-1,4607.5,4607.5,1824.56,1508969640,-84.763095,31.187762
165,First Pick Cotton,343.9,168.09,7.14,1,4.8,25.4,1,12.6,18,-1,4271.5,4271.5,1691.48,1508969640,-84.763101,31.187781
166,First Pick Cotton,343.7,168.04,7.07,1,4.8,25.2,1,15.4,18,-1,5258.4,5258.4,2082.32,1508969640,-84.763108,31.187799
167,First Pick Cotton,343.3,167.9,7.04,1,4.8,25.9,1,16.1,18,-1,5547.3,5547.3,2196.7200000000003,1508969640,-84.763114,31.187818
168,First Pick Cotton,343.7,167.85,7.07,1,4.7,24.9,1,17.2,18,-1,5878.3,5878.3,2327.8,1508969650,-84.76312,31.187837
169,First Pick Cotton,342.9,167.74,7.04,1,4.7,25.2,1,17.5,18,-1,6029.2,6029.2,2387.56,1508969650,-84.763127,31.187855
170,First Pick Cotton,343.2,167.64,7.07,1,4.7,26,1,13.6,18,-1,4638.4,4638.4,1836.8000000000002,1508969650,-84.763134,31.187874
171,First Pick Cotton,343.2,167.54,7.07,1,4.7,25.9,1,15.3,18,-1,5233.5,5233.5,2072.44,1508969650,-84.76314,31.187892
172,First Pick Cotton,342.9,167.41,7.04,1,4.7,26.3,1,15.2,18,-1,5240.4,5240.4,2075.2000000000003,1508969650,-84.763147,31.187911
173,First Pick Cotton,343.1,167.39,7.07,1,4.7,25.6,1,15.2,18,-1,5212.4,5212.4,2064.08,1508969650,-84.763154,31.187929
174,First Pick Cotton,343.1,167.28,7.04,1,4.7,25.7,1,13.2,18,-1,4522.1,4522.1,1790.76,1508969650,-84.76316,31.187948
175,First Pick Cotton,343,167.16,7.07,1,4.7,25.2,1,14.4,18,-1,4933.3,4933.3,1953.6000000000001,1508969650,-84.763167,31.187966
176,First Pick Cotton,343.4,167.17,7.07,1,4.7,25,1,13,18,-1,4458.1,4458.1,1765.4400000000003,1508969650,-84.763173,31.187985
177,First Pick Cotton,343.5,167.11,7.07,1,4.7,24.6,1,14.3,18,-1,4879.7,4879.7,1932.36,1508969650,-84.76318,31.188004
178,First Pick Cotton,343.6,167.23,7.01,1,4.8,26.4,1,10.9,18,-1,3752.3,3752.3,1485.92,1508969660,-84.763192,31.188041
179,First Pick Cotton,343.4,167.38,6.98,1,4.8,26.5,1,13.6,18,-1,4723,4723,1870.28,1508969660,-84.763199,31.188059
180,First Pick Cotton,343.4,167.56,6.98,1,4.7,26.4,1,15.9,18,-1,5509.2,5509.2,2181.6400000000003,1508969660,-84.763205,31.188077
181,First Pick Cotton,343.1,167.76,6.94,1,4.7,26.5,1,17.3,18,-1,6032.5,6032.5,2388.84,1508969660,-84.763212,31.188096
182,First Pick Cotton,343.4,167.98,6.91,1,4.7,26.8,1,15.4,18,-1,5403.3,5403.3,2139.68,1508969660,-84.763218,31.188114
